IDENT;ECONO;STATS;GROUP;SEXE
1;12;9;A;M
2;15.8;12.7;B;F
3;12.1;12.9;A;M
4;12.3;11.6;A;M
5;12.2;11.6;B;F
6;12.7;10.7;B;F
7;14.6;18.2;B;M
8;9.4;12.6;B;M
9;10.5;8.6;B;M
10;12.5;11;B;M
11;12.9;15;B;M
12;9.7;10.6;B;F
13;13.4;16.1;B;M
14;11.4;10.7;B;M
15;14.5;11.9;B;F
16;18.8;14.9;A;M
17;11.9;12.2;B;F
18;16.6;20;A;M
19;13.8;12.7;B;M
20;12.5;9.8;A;F
21;7.3;10.1;B;F
22;9.6;11.1;B;M
23;13.9;13.6;B;M
24;7.8;7.5;B;F
25;11.2;13.1;B;F
26;14.4;19.6;B;M
27;15.2;20;A;M
28;9.8;10.7;A;M
29;10.9;11.4;B;M
30;16.9;20;A;F
31;10.4;14;A;M
32;13.2;16.8;A;M
33;16.5;19.3;A;F
34;11.8;11.9;B;F
35;11.1;9.3;B;F
36;11.7;12.6;B;M
37;11.2;12.8;A;M
38;9.8;12.6;A;M
39;9.5;8;A;M
40;8.1;8.6;A;M
41;7.2;7.2;B;M
42;14.4;13.4;B;M
43;13.7;16.8;B;M
44;13.9;17.9;B;F
45;13.5;17.6;B;F
46;11.2;12.4;A;F
47;9.5;13.3;A;F
48;11.5;12.3;B;F
49;13.9;11.6;A;M
50;12.1;12.6;B;M
51;10.1;8.9;A;M
52;18.9;20;A;F
53;12.9;16.4;A;F
54;10.8;8.8;A;M
55;10.8;14.8;B;F
56;11.9;11.4;B;F
57;13.7;18.3;A;F
58;12.4;17.5;B;M
59;13;15.8;B;M
60;14;11.7;B;M
61;14.8;13.6;A;F
62;8.8;11.1;B;F
63;10.4;8.6;B;F
64;17.5;14.7;B;F
65;14;12.8;B;F
66;11.8;14.3;A;M
67;11.5;13;A;F
68;6.5;9;B;M
69;12.7;17.4;A;M
70;12.4;9.9;B;M
71;12.4;14.4;A;F
72;14.5;18.9;B;F
73;15.7;14.9;B;M
74;12.8;11.5;A;M
75;12.1;16;A;M
76;8.8;9.3;A;M
77;14.3;17.7;A;F
78;7.1;6.1;A;M
79;15.9;20;A;F
80;13.4;15.6;A;F
